date,year,month,DisposablePersonalIncome_L1q,DisposablePersonalIncome_0q,DisposablePersonalIncome_F1q,DisposablePersonalIncome_F2q,DisposablePersonalIncome_F3q,DisposablePersonalIncome_F4q,DisposablePersonalIncome_F5q,DisposablePersonalIncome_F6q,DisposablePersonalIncome_F7q,Drtbillcpi_L1q,Drtbillcpi_0q,Drtbillcpi_F1q,Drtbillcpi_F2q,Drtbillcpi_F3q,Drtbillcpi_F4q,Drtbillcpi_F5q,Drtbillcpi_F6q,Drtbillcpi_F7q,Drtbillpce_L1q,Drtbillpce_0q,Drtbillpce_F1q,Drtbillpce_F2q,Drtbillpce_F3q,Drtbillpce_F4q,Drtbillpce_F5q,Drtbillpce_F6q,Drtbillpce_F7q,Drtbillpgdp_L1q,Drtbillpgdp_0q,Drtbillpgdp_F1q,Drtbillpgdp_F2q,Drtbillpgdp_F3q,Drtbillpgdp_F4q,Drtbillpgdp_F5q,Drtbillpgdp_F6q,Drtbillpgdp_F7q,DGNPDeflator_L1q,DGNPDeflator_0q,DGNPDeflator_F1q,DGNPDeflator_F2q,DGNPDeflator_F3q,DGNPDeflator_F4q,DGNPDeflator_F5q,DGNPDeflator_F6q,DGNPDeflator_F7q,DRealGNP_L1q,DRealGNP_0q,DRealGNP_F1q,DRealGNP_F2q,DRealGNP_F3q,DRealGNP_F4q,DRealGNP_F5q,DRealGNP_F6q,DRealGNP_F7q,DCorpAaaBonds_L1q,DCorpAaaBonds_0q,DCorpAaaBonds_F1q,DCorpAaaBonds_F2q,DCorpAaaBonds_F3q,DCorpAaaBonds_F4q,DCorpAaaBonds_F5q,DCorpAaaBonds_F6q,DCorpAaaBonds_F7q,DChangeInPrivateInventory_L1q,DChangeInPrivateInventory_0q,DChangeInPrivateInventory_F1q,DChangeInPrivateInventory_F2q,DChangeInPrivateInventory_F3q,DChangeInPrivateInventory_F4q,DChangeInPrivateInventory_F5q,DChangeInPrivateInventory_F6q,DChangeInPrivateInventory_F7q,DCivilianUnemploymentRate_L1q,DCivilianUnemploymentRate_0q,DCivilianUnemploymentRate_F1q,DCivilianUnemploymentRate_F2q,DCivilianUnemploymentRate_F3q,DCivilianUnemploymentRate_F4q,DCivilianUnemploymentRate_F5q,DCivilianUnemploymentRate_F6q,DCivilianUnemploymentRate_F7q,DCPI_L1q,DCPI_0q,DCPI_F1q,DCPI_F2q,DCPI_F3q,DCPI_F4q,DCPI_F5q,DCPI_F6q,DCPI_F7q,DDisposablePersonalIncome_L1q,DDisposablePersonalIncome_0q,DDisposablePersonalIncome_F1q,DDisposablePersonalIncome_F2q,DDisposablePersonalIncome_F3q,DDisposablePersonalIncome_F4q,DDisposablePersonalIncome_F5q,DDisposablePersonalIncome_F6q,DDisposablePersonalIncome_F7q,DGDPPriceIndex_L1q,DGDPPriceIndex_0q,DGDPPriceIndex_F1q,DGDPPriceIndex_F2q,DGDPPriceIndex_F3q,DGDPPriceIndex_F4q,DGDPPriceIndex_F5q,DGDPPriceIndex_F6q,DGDPPriceIndex_F7q,DIP_L1q,DIP_0q,DIP_F1q,DIP_F2q,DIP_F3q,DIP_F4q,DIP_F5q,DIP_F6q,DIP_F7q,DNetExport_L1q,DNetExport_0q,DNetExport_F1q,DNetExport_F2q,DNetExport_F3q,DNetExport_F4q,DNetExport_F5q,DNetExport_F6q,DNetExport_F7q,DPCE_L1q,DPCE_0q,DPCE_F1q,DPCE_F2q,DPCE_F3q,DPCE_F4q,DPCE_F5q,DPCE_F6q,DPCE_F7q,DPPI_L1q,DPPI_0q,DPPI_F1q,DPPI_F2q,DPPI_F3q,DPPI_F4q,DPPI_F5q,DPPI_F6q,DPPI_F7q,DRealGDP_L1q,DRealGDP_0q,DRealGDP_F1q,DRealGDP_F2q,DRealGDP_F3q,DRealGDP_F4q,DRealGDP_F5q,DRealGDP_F6q,DRealGDP_F7q,Dtbill_L1q,Dtbill_0q,Dtbill_F1q,Dtbill_F2q,Dtbill_F3q,Dtbill_F4q,Dtbill_F5q,Dtbill_F6q,Dtbill_F7q,Dtbond_L1q,Dtbond_0q,Dtbond_F1q,Dtbond_F2q,Dtbond_F3q,Dtbond_F4q,Dtbond_F5q,Dtbond_F6q,Dtbond_F7q
1980-11-01,1980,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30000019,0.099999428,0.099999428,0.099999428,0.39999962,,,,,1.1,-0.5,-0.19999981,-0.29999995,-0.10000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89999962,0.79999924,0.20000076,0.30000019,0.39999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-01,1980,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30000019,0.19999981,0.30000019,0.19999981,0.10000038,,,,,0.79999995,-1.1,-0.60000014,-0.29999995,0.20000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.19999981,0.19999981,-0.19999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,1981,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.099999622,0,,,,,1.8,-1,-1.4,0.1999999,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.59999943,0.70000076,0.80000019,0.10000038,0.39999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-01,1981,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.30000019,0.40000001,0.19999981,0,0.099999428,0.30000019,0.19999981,,0.70000005,-0.2,-0.30000001,-0.19999981,0.099999905,0.10000014,0.099999905,0.20000005,,,,,,,,,,,,,,,,,,,,-0.1,-0.099999905,-0.099999905,0,0.099999905,0.099999905,0.099999905,0.29999971,,0.5,0.099999428,0.29999924,0,0,0.099999428,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-01,1981,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000038,0.10000038,0.1,0,0,0,-0.099999428,0,,2.5,-0.2,-0.30000001,-0.30000019,-0.099999905,0,0.30000019,0,,,,,,,,,,,,,,,,,,,,-0.30000001,-0.099999905,-0.099999905,-0.10000038,-0.099999905,-0.099999905,-0.099999905,-0.099999905,,-0.40000057,1,0.10000038,0,-0.099999428,-0.099999428,-0.10000038,-0.20000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-01,1981,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19999981,0,-0.30000001,0,-0.10000038,-0.099999428,-0.10000038,-0.10000038,,1.6000001,-0.40000001,-0.60000002,-0.099999905,0,-0.10000014,0.19999981,0.099999905,,,,,,,,,,,,,,,,,,,,-0.1,-0.10000038,-0.10000038,-0.099999905,0,-0.10000038,0,-0.099999905,,-0.59999943,-1,-0.30000019,-0.19999981,0,0,0,-0.099999428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-05-01,1981,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.70000076,-0.1,-0.30000019,-0.30000019,-0.20000076,-0.30000019,-0.30000019,,,0.2,-0.5,-0.4000001,0.19999981,0.20000005,-0.099999905,-0.099999905,,,,,,,,,,,,,,,,,,,,,-0.19999981,-0.099999905,-0.099999905,-0.099999905,0,-0.099999905,0,,,-0.59999943,-0.5,-0.39999962,-0.30000019,-0.30000019,-0.39999962,-0.40000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-01,1981,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39999962,-0.30000001,-0.10000038,-0.099999428,-0.099999428,0,-0.099999428,,,0.40000001,-0.30000001,-0.099999905,-0.39999986,0,0,0.20000005,,,,,,,,,,,,,,,,,,,,,-0.099999905,-0.099999905,-0.099999905,0,0,0,-0.099999905,,,-1.9000006,-0.39999962,-0.30000019,-0.30000019,-0.30000019,-0.10000038,-0.19999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-07-01,1981,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.40000001,-0.29999924,-0.19999981,-0.19999981,-0.29999971,-0.19999981,,,0,-0.60000002,-0.10000014,0.10000014,0,0.19999981,0.19999981,,,,,,,,,,,,,,,,,,,,,0,0.099999905,0.099999905,0,0,0.099999905,0,,,-0.79999971,-0.5,-0.40000057,-0.59999943,-0.5,-0.39999962,-0.39999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-08-01,1981,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30000001,-0.20000076,-0.10000038,-0.10000038,-0.20000029,-0.10000038,,,,-1.7,-0.70000005,-0.10000014,0.099999905,0.5,0.099999905,,,,,,,,,,,,,,,,,,,,,,0,0.19999981,0.29999971,0.20000029,0.099999905,0.19999981,,,,0.19999981,-0.19999981,-0.10000038,-0.19999981,-0.099999905,0.099999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-09-01,1981,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,0,-0.19999981,-0.19999981,-0.099999905,-0.099999905,,,,0.2,-0.89999986,-0.5,0,0.10000038,0.10000038,,,,,,,,,,,,,,,,,,,,,,-0.29999971,-0.099999905,0,0,0.10000038,0.099999905,,,,1.1000004,0,-0.19999981,-0.10000038,0,-0.099999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-10-01,1981,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.39999962,-0.4000001,-0.30000019,-0.4000001,-0.30000019,,,,-0.30000001,-1.2,-0.70000005,-0.5,0,0.29999971,,,,,,,,,,,,,,,,,,,,,,-0.10000038,0,0,0.099999905,0.099999905,0.10000038,,,,0.89999962,0.30000019,-0.10000038,-0.099999905,-0.20000029,-0.20000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-11-01,1981,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.19999981,0,0.30000019,0.20000029,,,,,-3.0999999,-1.9999999,-0.39999986,0.19999981,0.4000001,,,,,,,,,,,,,,,,,,,,,,,0.20000029,0.4000001,0.4000001,0.29999971,0.39999962,,,,,1,-0.099999905,-0.19999981,-0.19999981,-0.19999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-01,1981,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10000038,-0.19999981,-0.19999981,-0.30000019,-0.4000001,,,,,-2.3000002,-1.4000001,-0.4000001,0.5,0.4000001,,,,,,,,,,,,,,,,,,,,,,,0.39999962,0.5,0.49999952,0.5,0.30000019,,,,,-0.80000019,-0.4000001,-0.5,-0.30000019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-01-01,1982,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7000003,-0.20000029,-0.10000038,0.00000019073487,0,,,,,-1,-0.30000001,0.10000014,-0.1,-0.20000029,,,,,,,,,,,,,,,,,,,,,,,0.19999981,0.2,0.40000057,0.40000057,0.10000038,,,,,0,-0.39999962,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-02-01,1982,2,,,,,,,,,,,1.6000004,1.1000009,,0.69999981,0.69999981,0.79999971,0.69999981,0.50000048,,,,,,,,,,,,,,,,,,,,-0.099999905,-0.099999905,-0.2,0.099999905,-0.20000029,-0.099999905,-0.10000038,-0.099999905,,-0.99999988,-0.5,-0.40000001,-0.099999905,0.10000038,0.20000005,-0.20000029,0.099999905,,0.60000002,0.60000038,0.40000001,0.5,0.5,0.60000038,0.59999943,0.5,,,,,,,,,,,0.2,0.30000019,0.39999962,0.59999943,0.29999924,0.29999971,0.4000001,0.4000001,,-0.30000019,-0.20000029,-0.29999971,-0.30000019,-0.30000019,-0.29999971,-0.30000019,-0.099999905,,,,,,,,,,,,,,,,,,,,-3.0999999,-1.2000003,0.30000019,0,0.39999962,1,-0.4000001,0.20000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.90000057,,0.39999962,0.39999962,0.5,0.39999962,0.40000057,,,,,,,,,
1982-03-01,1982,3,,,,,,,,,,,1.4000001,0.59999943,,0.099999905,0.60000038,0.20000029,0.19999981,0.4000001,,,,,,,,,,,,,,,,,,,,-0.29999971,-0.099999905,-0.2,-0.30000019,-0.29999971,-0.5,-0.19999981,-0.4000001,,-0.70000005,-0.70000005,-0.80000001,-0.4000001,-0.80000019,-0.4000001,-0.099999905,0.10000014,,0.40000001,0.5,0.40000001,0.19999981,0.39999962,0.19999981,0,0,,,,,,,,,,,0,0,0,0,0.10000038,0.10000038,0.10000038,0.19999981,,-0.9000001,-0.39999962,-0.30000019,-0.29999971,-0.30000019,-0.20000029,-0.19999981,-0.4000001,,,,,,,,,,,,,,,,,,,,-6.9000006,0.099999905,0.39999962,0.89999962,-0.5999999,-1.5,0.20000029,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.19999981,,-0.19999981,0.30000019,0,0,0,,,,,,,,,
1982-04-01,1982,4,,,,,,,,,,1.6999993,1.2999997,,0.39999962,-0.00000047683716,0.099999905,0,-0.29999971,,,,,,,,,,,,,,,,,,,,-0.4000001,-0.4000001,-0.2,-0.19999981,-0.20000029,0,-0.099999905,-0.099999905,,-1.2,-0.20000005,0.30000001,-0.099999905,0.099999905,0,0,0.099999905,,0.2,0,-0.2,0.10000038,0,0,-0.099999428,-0.10000038,,,,,,,,,,,-0.1,0,0,-0.099999428,0.10000038,0.19999981,0.19999981,0,,-1.0999999,-0.9000001,-0.19999981,-0.30000019,-0.29999971,-0.29999971,-0.19999981,-0.20000029,,,,,,,,,,,,,,,,,,,,-1.2999992,-0.5,0,0.40000057,0.20000029,0,-0.099999905,0.099999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60000002,0.39999962,,0.099999428,-0.30000019,-0.19999981,-0.19999981,-0.5,,,,,,,,,,
1982-05-01,1982,5,,,,,,,,,,,2.0000005,,0.50000048,0.30000067,0.30000019,0.30000019,0.4000001,,,,,,,,,,,,,,,,,,,,,-0.79999971,-0.5,-0.4000001,-0.5,-0.30000019,-0.30000019,-0.19999981,,,-0.29999995,-0.2,-0.4000001,0.10000014,0,0,0.099999905,,,0.099999428,0.2,0,-0.099999428,0,0,0,,,,,,,,,,,,0.099999428,0.10000038,0.19999981,0.099999428,0.10000038,0.099999428,0.19999981,,,-1.7,-0.5999999,-0.4000001,-0.20000029,-0.30000019,-0.30000019,-0.099999905,,,,,,,,,,,,,,,,,,,,,-1.5999999,-0.89999962,-0.80000019,0,0.30000019,0.29999971,-0.099999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30000019,,0.10000038,0.10000038,0,0,0.30000019,,,,,,,,,,
1982-06-01,1982,6,,,,,,,,,,,0.29999924,,0.099999905,0.19999981,0.4000001,0.20000029,0.29999971,,,,,,,,,,,,,,,,,,,,,-0.5,-0.1,-0.19999981,-0.099999905,-0.19999981,-0.099999905,-0.20000029,,,-0.30000007,-0.2,0.10000038,-0.29999995,0.20000005,-0.099999905,0.20000029,,,-0.19999981,-0.2,-0.10000038,0,0,-0.10000038,-0.099999428,,,,,,,,,,,,0.19999981,0.29999924,0.30000019,0.19999981,0.19999981,0.20000076,0.19999981,,,-0.29999995,-0.10000038,-0.099999905,-0.19999981,-0.099999905,-0.099999905,-0.29999971,,,,,,,,,,,,,,,,,,,,,-3.5,-0.69999981,-0.19999981,0.099999905,0.9000001,-0.4000001,0.4000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0.30000019,0.10000038,0,,,,,,,,,,
1982-07-01,1982,7,,,,,,,,,,-0.89999962,,0.59999943,0.00000047683716,-0.10000038,0.29999971,0.30000019,,,,,,,,,,,,,,,,,,,,,-0.10000038,0,0,0,0,0,-0.19999981,,,-0.19999999,-0.30000001,-0.4000001,-0.20000005,-0.20000005,-0.20000005,-0.30000019,,,0.80000019,1.2,1.1000004,1,0.89999962,1,1.0999994,,,,,,,,,,,,0.10000038,0.10000038,0.19999981,0.10000038,0.099999428,0.29999924,0,,,1.0999999,0.4000001,-0.19999981,0.099999905,0,-0.099999905,-0.10000038,,,,,,,,,,,,,,,,,,,,,-1.5000001,0.89999962,-0.4000001,-0.30000019,-0.10000038,0.10000038,0.19999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19999981,,0.39999962,0.10000038,-0.10000038,0.19999981,0.19999981,,,,,,,,,,,
